manufactory;product_name;segment;category;subcategory;Product ID;Product Available (Inventory)
Howard Miller;"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock";Corporate;Furniture;Furnishings;1053;404
Lesro;Lesro Round Back Collection Coffee Table, End Table;Corporate;Furniture;Tables;956;415
Pressboard;Pressboard Hanging Data Binders for Unburst Sheets;Consumer;Office Supplies;Binders;1054;238
Other;PNY Rapid USB Car Charger - Black;Consumer;Technology;Phones;1055;285
Fellowes;Fellowes Desktop Hanging File Manager;Corporate;Office Supplies;Storage;1056;498
Eldon;Eldon Executive Woodline II Desk Accessories, Mahogany;Consumer;Furniture;Furnishings;1057;466
Fellowes;Fellowes PB200 Plastic Comb Binding Machine;Consumer;Office Supplies;Binders;313;156
Other;Peel & Stick Add-On Corner Pockets;Consumer;Office Supplies;Binders;1058;192
SAFCO;Safco Industrial Wire Shelving;Consumer;Office Supplies;Storage;1059;337
Motorola;Motorola Droid Maxx;Consumer;Technology;Phones;259;499
Office Star;Office Star - Mesh Screen back chair with Vinyl seat;Corporate;Furniture;Chairs;212;26
Hon;Hon 4-Shelf Metal Bookcases;Consumer;Furniture;Bookcases;1060;116
Dana;Dana Swing-Arm Lamps;Consumer;Furniture;Furnishings;863;490
Other;BPI Conference Tables;Consumer;Furniture;Tables;1061;68
Wilson Jones;Wilson Jones Turn Tabs Binder Tool for Ring Binders;Consumer;Office Supplies;Binders;97;7
Fellowes;Fellowes Stor/Drawer Steel Plus Storage Drawers;Consumer;Office Supplies;Storage;30;37
Bevis;Bevis Rectangular Conference Tables;Consumer;Furniture;Tables;1062;184
Other;"Geographics Note Cards, Blank, White, 8 1/2"" x 11""";Consumer;Office Supplies;Paper;150;74
Xerox;Xerox 1888;Home Office;Office Supplies;Paper;1063;284
Sauder;Sauder Inglewood Library Bookcases;Corporate;Furniture;Bookcases;432;445
Premier;Premier Elliptical Ring Binder, Black;Corporate;Office Supplies;Binders;810;253
Avery;Avery 499;Corporate;Office Supplies;Labels;852;394
Avery;Avery 480;Corporate;Office Supplies;Labels;86;238
Other;"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack";Home Office;Office Supplies;Paper;1064;17
Apple;Apple iPhone 5;Consumer;Technology;Phones;402;75
Logitech;Logitech G105 Gaming Keyboard;Consumer;Technology;Accessories;909;81
Other;Recycled Steel Personal File for Standard File Folders;Consumer;Office Supplies;Storage;348;19
Jabra;Jabra SPEAK 410;Consumer;Technology;Phones;66;212
HP;HP Standard 104 key PS/2 Keyboard;Home Office;Technology;Accessories;1065;261
AT&T;AT&T TR1909W;Home Office;Technology;Phones;229;343
Nokia;Nokia Lumia 521 (T-Mobile);Home Office;Technology;Phones;1066;437
3M;3M Organizer Strips;Corporate;Office Supplies;Binders;1067;364
Peel & Seel;Peel & Seel Recycled Catalog Envelopes, Brown;Corporate;Office Supplies;Envelopes;1068;498
Xerox;Xerox 2000;Corporate;Office Supplies;Paper;779;147
Other;Toshiba IPT2010-SD IP Telephone;Corporate;Technology;Phones;1008;162
Newell;Newell 322;Corporate;Office Supplies;Art;482;21
Other;Multicolor Computer Printout Paper;Corporate;Office Supplies;Paper;1069;142
Space Solutions;Space Solutions Commercial Steel Shelving;Corporate;Office Supplies;Storage;235;65
Logitech;Logitech B530 USB Headset - headset - Full size, Binaural;Corporate;Technology;Phones;550;142
Xerox;Xerox 211;Corporate;Office Supplies;Paper;279;276
TOPS;Tops Wirebound Message Log Books;Home Office;Office Supplies;Paper;1070;167
Kensington;Kensington Expert Mouse Optical USB Trackball for PC or Mac;Home Office;Technology;Accessories;321;338
Poly;Poly String Tie Envelopes;Corporate;Office Supplies;Envelopes;232;286
RCA;RCA Visys Integrated PBX 8-Line Router;Corporate;Technology;Phones;292;416
Wilson Jones;Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges;Consumer;Office Supplies;Binders;458;141
Avery;"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""";Home Office;Office Supplies;Binders;970;452
Hammermil;Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright);Corporate;Office Supplies;Paper;1071;378
Other;Holmes Harmony HEPA Air Purifier for 17 x 20 Room;Corporate;Office Supplies;Appliances;1072;144
GBC;GBC ProClick Punch Binding System;Corporate;Office Supplies;Binders;416;250
Staple envelope;Staple envelope;Corporate;Office Supplies;Envelopes;29;473
Other;Fashion Color Clasp Envelopes;Corporate;Office Supplies;Envelopes;1073;175
Xerox;Xerox 1895;Consumer;Office Supplies;Paper;566;377
Other;Alphabetical Labels for Top Tab Filing;Home Office;Office Supplies;Labels;806;289
Staple-based wall hangings;Staple-based wall hangings;Corporate;Furniture;Furnishings;624;272
Other;Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit;Corporate;Office Supplies;Appliances;1074;321
Maxell;Maxell 4.7GB DVD-R 5/Pack;Corporate;Technology;Accessories;590;102
Other;UniKeep View Case Binders;Consumer;Office Supplies;Binders;1075;225
Office Star;Office Star Flex Back Scooter Chair with White Frame;Corporate;Furniture;Chairs;1076;108
Other;Quality Park Security Envelopes;Corporate;Office Supplies;Envelopes;1077;49
SAFCO;Safco Contoured Stacking Chairs;Consumer;Furniture;Chairs;1078;367
Novimex;Novimex Swivel Fabric Task Chair;Consumer;Furniture;Chairs;119;470
Other;Pastel Pink Envelopes;Consumer;Office Supplies;Envelopes;931;418
Belkin;Belkin F8E887 USB Wired Ergonomic Keyboard;Consumer;Technology;Accessories;988;333
Staple envelope;Staple envelope;Consumer;Office Supplies;Envelopes;29;421
Hunt;Hunt PowerHouse Electric Pencil Sharpener, Blue;Corporate;Office Supplies;Art;780;66
Other;Dot Matrix Printer Tape Reel Labels, White, 5000/Box;Corporate;Office Supplies;Labels;493;95
Xerox;Xerox 1885;Corporate;Office Supplies;Paper;1079;401
Adams;Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book;Corporate;Office Supplies;Paper;455;163
Global;Global Leather & Oak Executive Chair, Burgundy;Consumer;Furniture;Chairs;1080;316
Global;Global Executive Mid-Back Manager's Chair;Corporate;Furniture;Chairs;1081;63
Samsung;Samsung Galaxy S III - 16GB - pebble blue (T-Mobile);Corporate;Technology;Phones;1028;145
Acco;Acco Expandable Hanging Binders;Home Office;Office Supplies;Binders;1082;133
Crayola;Crayola Colored Pencils;Consumer;Office Supplies;Art;268;27
Executive Impressions;"Executive Impressions 14""";Home Office;Furniture;Furnishings;1083;37
Other;Peel & Stick Add-On Corner Pockets;Corporate;Office Supplies;Binders;1058;451
Xerox;Xerox 220;Corporate;Office Supplies;Paper;114;215
Other;Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16;Corporate;Office Supplies;Storage;1084;196
Carina;"Carina 42""Hx23 3/4""W Media Storage Unit";Corporate;Office Supplies;Storage;149;0
Eldon;Eldon 200 Class Desk Accessories, Burgundy;Consumer;Furniture;Furnishings;1085;407
Samsung;Samsung Galaxy S4;Consumer;Technology;Phones;1086;41
Eldon;"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear";Consumer;Furniture;Furnishings;680;449
Fellowes;Fellowes Super Stor/Drawer Files;Consumer;Office Supplies;Storage;890;187
Memorex;Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive;Consumer;Technology;Accessories;1087;289
Dixon;Dixon Ticonderoga Core-Lock Colored Pencils;Consumer;Office Supplies;Art;71;103
Sauder;Sauder Camden County Collection Libraries, Planked Cherry Finish;Home Office;Furniture;Bookcases;1088;350
Tennsco;Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units;Home Office;Office Supplies;Storage;477;158
DAX;DAX Black Cherry Wood-Tone Poster Frame;Consumer;Furniture;Furnishings;34;410
Master Caster;Master Caster Door Stop, Brown;Corporate;Furniture;Furnishings;111;44
Bretford;Bretford CR4500 Series Slim Rectangular Table;Corporate;Furniture;Tables;1089;375
Avery;Avery 52;Corporate;Office Supplies;Labels;1090;223
Avery;Avery 520;Corporate;Office Supplies;Labels;1091;430
Southworth;Southworth 25% Cotton Granite Paper & Envelopes;Corporate;Office Supplies;Paper;11;107
KeyTronic;KeyTronic KT400U2 - Keyboard - Black;Corporate;Technology;Accessories;754;193
Hon;Hon GuestStacker Chair;Consumer;Furniture;Chairs;665;127
Staples in misc. colors;Staples in misc. colors;Consumer;Office Supplies;Art;108;180
Logitech;Logitech Mobile Speakerphone P710e - speaker phone;Consumer;Technology;Phones;1092;450
Staple-based wall hangings;Staple-based wall hangings;Corporate;Furniture;Furnishings;624;332
Belkin;Belkin F9G930V10-GRY 9 Outlet Surge;Corporate;Office Supplies;Appliances;317;140
Wirebound;Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page;Corporate;Office Supplies;Paper;1093;219
Pressboard;Pressboard Data Binders by Wilson Jones;Consumer;Office Supplies;Binders;105;152
Acco;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";Consumer;Office Supplies;Binders;376;24
Avery;"Avery Address/Shipping Labels for Typewriters, 4"" x 2""";Consumer;Office Supplies;Labels;1094;249
Avery;Avery File Folder Labels;Consumer;Office Supplies;Labels;350;132
Clearsounds;ClearSounds CSC500 Amplified Spirit Phone Corded phone;Consumer;Technology;Phones;1095;177
Fellowes;Fellowes Mighty 8 Compact Surge Protector;Corporate;Office Supplies;Appliances;38;222
Other;SpineVue Locking Slant-D Ring Binders by Cardinal;Corporate;Office Supplies;Binders;525;49
Wilson Jones;Wilson Jones Easy Flow II Sheet Lifters;Corporate;Office Supplies;Binders;107;437
Xerox;Xerox 1970;Corporate;Office Supplies;Paper;1096;24
Eldon;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;Consumer;Furniture;Furnishings;44;227
Xerox;Xerox 1893;Home Office;Office Supplies;Paper;1031;459
Xerox;Xerox 2;Consumer;Office Supplies;Paper;507;135
Office Impressions;Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers;Consumer;Office Supplies;Storage;524;171
Jawbone;Jawbone MINI JAMBOX Wireless Bluetooth Speaker;Consumer;Technology;Phones;687;474
Other;Staples;Consumer;Office Supplies;Fasteners;80;158
Eldon;Eldon Radial Chair Mat for Low to Medium Pile Carpets;Corporate;Furniture;Furnishings;1097;312
Eldon;Eldon Cleatmat Plus Chair Mats for High Pile Carpets;Corporate;Furniture;Furnishings;1098;358
Crayola;Crayola Colored Pencils;Corporate;Office Supplies;Art;268;244
GBC;"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black";Corporate;Office Supplies;Binders;187;368
Xerox;Xerox 1933;Corporate;Office Supplies;Paper;370;496
Sauder;Sauder Camden County Barrister Bookcase, Planked Cherry Finish;Home Office;Furniture;Bookcases;1099;357
Avery;Avery 489;Home Office;Office Supplies;Labels;1100;12
Staple remover;Staple remover;Home Office;Office Supplies;Supplies;490;399
Other;Laser & Ink Jet Business Envelopes;Corporate;Office Supplies;Envelopes;1101;271
GBC;GBC Standard Recycled Report Covers, Clear Plastic Sheets;Consumer;Office Supplies;Binders;40;18
Other;StarTech.com 10/100 VDSL2 Ethernet Extender Kit;Consumer;Technology;Machines;774;488
Acco;Acco 6 Outlet Guardian Premium Surge Suppressor;Consumer;Office Supplies;Appliances;457;38
Other;Micropad Numeric Keypads;Consumer;Technology;Accessories;1102;402
Newell;Newell 331;Consumer;Office Supplies;Art;1103;98
Avery;Avery 485;Consumer;Office Supplies;Labels;629;426
Other;Staples;Corporate;Office Supplies;Fasteners;80;40
Avery;Avery 488;Consumer;Office Supplies;Labels;347;323
Other;Staples;Consumer;Office Supplies;Fasteners;80;144
Other;Wilson SignalBoost 841262 DB PRO Amplifier Kit;Consumer;Technology;Phones;549;272
Other;Park Ridge Embossed Executive Business Envelopes;Consumer;Office Supplies;Envelopes;1104;410
Acme;Acme Office Executive Series Stainless Steel Trimmers;Consumer;Office Supplies;Supplies;473;148
Memorex;Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack;Consumer;Technology;Accessories;1105;362
Avery;Avery Triangle Shaped Sheet Lifters, Black, 2/Pack;Corporate;Office Supplies;Binders;1006;263
Office Star;Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat;Consumer;Furniture;Chairs;1106;486
Hunt;Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black;Consumer;Office Supplies;Art;535;251
Other;Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts;Consumer;Furniture;Furnishings;1107;277
Other;BlueLounge Milo Smartphone Stand, White/Metallic;Consumer;Technology;Phones;1108;387
Ultra;Ultra Door Push Plate;Consumer;Furniture;Furnishings;50;239
Linden;"Linden 10"" Round Wall Clock, Black";Consumer;Furniture;Furnishings;1109;58
Cisco;Cisco IP Phone 7961G VoIP phone - Dark gray;Consumer;Technology;Phones;979;304
Hon;Hon Multipurpose Stacking Arm Chairs;Consumer;Furniture;Chairs;396;223
Master Caster;Master Caster Door Stop, Brown;Consumer;Furniture;Furnishings;111;117
Xerox;Xerox 214;Consumer;Office Supplies;Paper;1110;406
Sharp;Sharp 1540cs Digital Laser Copier;Consumer;Technology;Copiers;675;386
Hon;Hon 4070 Series Pagoda Round Back Stacking Chairs;Corporate;Furniture;Chairs;1111;56
Staple holder;Staple holder;Consumer;Office Supplies;Appliances;394;73
Other;"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set";Corporate;Office Supplies;Paper;978;54
Kingston;Kingston Digital DataTraveler 8GB USB 2.0;Corporate;Technology;Accessories;1112;400
O'Sullivan;O'Sullivan Living Dimensions 5-Shelf Bookcases;Consumer;Furniture;Bookcases;467;383
Angle-D;Angle-D Binders with Locking Rings, Label Holders;Consumer;Office Supplies;Binders;766;391
Logitech;Logitech 910-002974 M325 Wireless Mouse for Web Scrolling;Consumer;Technology;Accessories;33;385
Deflect-o;Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black;Corporate;Furniture;Furnishings;886;73
Other;12-1/2 Diameter Round Wall Clock;Corporate;Furniture;Furnishings;1113;80
Newell;Newell 343;Corporate;Office Supplies;Art;997;90
Imation;Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...;Corporate;Technology;Accessories;1114;239
Global;Global Stack Chair with Arms, Black;Corporate;Furniture;Chairs;1004;398
DAX;DAX Metal Frame, Desktop, Stepped-Edge;Corporate;Furniture;Furnishings;1115;472
Avery;Avery 509;Corporate;Office Supplies;Labels;1116;319
Xerox;Xerox 1942;Corporate;Office Supplies;Paper;817;456
Jabra;Jabra Supreme Plus Driver Edition Headset;Consumer;Technology;Phones;1117;484
Xerox;Xerox 214;Corporate;Office Supplies;Paper;1110;433
Plantronics;Plantronics Voyager Pro HD - Bluetooth Headset;Corporate;Technology;Phones;983;246
Hunt;Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;Corporate;Office Supplies;Art;1118;138
Other;netTALK DUO VoIP Telephone Service;Corporate;Technology;Phones;434;433
Other;Cameo Buff Policy Envelopes;Corporate;Office Supplies;Envelopes;320;299
Fellowes;Fellowes Bankers Box Recycled Super Stor/Drawer;Corporate;Office Supplies;Storage;123;94
Prang;Prang Colored Pencils;Consumer;Office Supplies;Art;781;64
Advantus;Advantus Plastic Paper Clips;Consumer;Office Supplies;Fasteners;783;394
Xerox;Xerox 1933;Consumer;Office Supplies;Paper;370;155
Other;Recycled Eldon Regeneration Jumbo File;Consumer;Office Supplies;Storage;512;313
Fellowes;Fellowes 8 Outlet Superior Workstation Surge Protector;Consumer;Office Supplies;Appliances;813;105
Other;Large Capacity Hanging Post Binders;Corporate;Office Supplies;Binders;283;133
Xerox;Xerox 1893;Corporate;Office Supplies;Paper;1031;186
Other;"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book";Corporate;Office Supplies;Paper;120;327
Panasonic;Panasonic KX T7736-B Digital phone;Corporate;Technology;Phones;1119;402
Other;Lunatik TT5L-002 Taktik Strike Impact Protection System for iPhone 5;Corporate;Technology;Phones;1120;373
Tenex;Tenex File Box, Personal Filing Tote with Lid, Black;Corporate;Office Supplies;Storage;274;136
Imation;Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive;;;;;
Standard;Standard Rollaway File with Lock;Corporate;Office Supplies;Storage;1121;117
Other;12-1/2 Diameter Round Wall Clock;Consumer;Furniture;Furnishings;1113;493
Chromcraft;"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables";Consumer;Furniture;Tables;471;196
Other;File Shuttle I and Handi-File;Consumer;Office Supplies;Storage;1122;227
Nu-Dell;Nu-Dell Float Frame 11 x 14 1/2;Consumer;Furniture;Furnishings;672;458
KI;KI Adjustable-Height Table;Consumer;Furniture;Tables;280;11
Bionaire;Bionaire 99.97% HEPA Air Cleaner;Consumer;Office Supplies;Appliances;1123;250
Ibico;Ibico Covers for Plastic or Wire Binding Elements;Consumer;Office Supplies;Binders;873;225
Rogers;Rogers Deluxe File Chest;Consumer;Office Supplies;Storage;1124;8
Other;Shocksock Galaxy S4 Armband;Consumer;Technology;Phones;1125;489
Xerox;Xerox 1909;Consumer;Office Supplies;Paper;177;416
Advantus;Advantus Rolling Drawer Organizers;Home Office;Office Supplies;Storage;682;159
Newell;Newell 32;Consumer;Office Supplies;Art;615;378
Other;Green Bar Computer Printout Paper;Home Office;Office Supplies;Paper;1126;328
Xerox;Xerox 1909;Consumer;Office Supplies;Paper;177;129
Other;Companion Letter/Legal File, Black;Corporate;Office Supplies;Storage;1127;245
Acco;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""";Consumer;Office Supplies;Binders;1128;194
Avery;Avery 499;Consumer;Office Supplies;Labels;852;279
Avery;Avery 492;Consumer;Office Supplies;Labels;209;460
Xerox;Xerox 232;Consumer;Office Supplies;Paper;326;332
Other;Adjustable Personal File Tote;Consumer;Office Supplies;Storage;273;485
Acco;Acco Side-Punched Conventional Columnar Pads;Consumer;Office Supplies;Supplies;701;468
SanDisk;SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card;Consumer;Technology;Accessories;410;489
Samsung;Samsung HM1900 Bluetooth Headset;Consumer;Technology;Phones;1129;208
DMI;DMI Arturo Collection Mission-style Design Wood Chair;Consumer;Furniture;Chairs;318;347
Xerox;Xerox 1964;Consumer;Office Supplies;Paper;1130;442
Luxo;Luxo Economy Swing Arm Lamp;Corporate;Furniture;Furnishings;1017;13
DAX;DAX Natural Wood-Tone Poster Frame;Corporate;Furniture;Furnishings;773;307
Acco;Acco Perma 3000 Stacking Storage Drawers;Corporate;Office Supplies;Storage;1016;270
Xerox;Xerox 1987;Corporate;Office Supplies;Paper;1131;414
Xerox;Xerox 195;Corporate;Office Supplies;Paper;59;279
Other;Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16;Corporate;Office Supplies;Storage;1084;306
Global;Globe Weis Peel & Seel First Class Envelopes;Consumer;Office Supplies;Envelopes;674;481
Canon;Canon PC940 Copier;Consumer;Technology;Copiers;1132;365
Tripp Lite;Tripp Lite TLP810NET Broadband Surge for Modem/Fax;Corporate;Office Supplies;Appliances;705;65
Other;Astroparche Fine Business Paper;Corporate;Office Supplies;Paper;1133;27
Office Star;Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back;Corporate;Furniture;Chairs;1134;134
Xerox;Xerox 1931;Corporate;Office Supplies;Paper;725;140
Xerox;"Xerox Color Copier Paper, 11"" x 17"", Ream";Corporate;Office Supplies;Paper;1135;377
Poly;Poly Designer Cover & Back;Consumer;Office Supplies;Binders;1136;162
Adams;"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages";Consumer;Office Supplies;Paper;1039;260
Staple envelope;Staple envelope;Consumer;Office Supplies;Envelopes;29;283
Other;Longer-Life Soft White Bulbs;Consumer;Furniture;Furnishings;895;406
Eldon;Eldon Image Series Desk Accessories, Burgundy;Consumer;Furniture;Furnishings;1137;23
Other;Woodgrain Magazine Files by Perma;Consumer;Office Supplies;Storage;1138;421
GBC;GBC DocuBind 300 Electric Binding Machine;Corporate;Office Supplies;Binders;1139;342
Eldon;Eldon Advantage Chair Mats for Low to Medium Pile Carpets;Consumer;Furniture;Furnishings;1140;67
Bestar;Bestar Classic Bookcase;Consumer;Furniture;Bookcases;386;456
Bretford;Bretford Rectangular Conference Table Tops;Consumer;Furniture;Tables;179;466
Hon;Hon Non-Folding Utility Tables;Consumer;Furniture;Tables;1141;87
Howard Miller;Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock;Corporate;Furniture;Furnishings;1142;189
Other;White GlueTop Scratch Pads;Consumer;Office Supplies;Paper;888;416
Electrix;Electrix Incandescent Magnifying Lamp, Black;Corporate;Furniture;Furnishings;428;16
Cardinal;Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl;Corporate;Office Supplies;Binders;592;142
ACCOHIDE;"ACCOHIDE 3-Ring Binder, Blue, 1""";Corporate;Office Supplies;Binders;333;4
Acme;Acme Value Line Scissors;Consumer;Office Supplies;Supplies;818;83
Iceberg;Iceberg Nesting Folding Chair, 19w x 6d x 43h;Consumer;Furniture;Chairs;224;412
Hon;Hon Rectangular Conference Tables;Consumer;Furniture;Tables;1143;424
Newell;Newell 35;Consumer;Office Supplies;Art;175;163
Plantronics;Plantronics CS510 - Over-the-Head monaural Wireless Headset System;Consumer;Technology;Accessories;1144;302
GBC;GBC VeloBind Cover Sets;Corporate;Office Supplies;Binders;963;444
Hewlett-Packard;"HP Designjet T520 Inkjet Large Format Printer - 24"" Color";Consumer;Technology;Machines;846;102
Avery;Avery Heavy-Duty EZD View Binder with Locking Rings;Consumer;Office Supplies;Binders;405;460
Other;Assorted Color Push Pins;Consumer;Office Supplies;Fasteners;1145;173
Belkin;Belkin Standard 104 key USB Keyboard;Consumer;Technology;Accessories;767;76
Other;Lifetime Advantage Folding Chairs, 4/Carton;Consumer;Furniture;Chairs;374;422
Other;ARKON Windshield Dashboard Air Vent Car Mount Holder;Consumer;Technology;Phones;1146;483
Other;Stackable Trays;Consumer;Furniture;Furnishings;1147;103
Dana;Dana Swing-Arm Lamps;Corporate;Furniture;Furnishings;863;129
Global;Global Wood Trimmed Manager's Task Chair, Khaki;Corporate;Furniture;Chairs;942;213
Ultra;Ultra Door Push Plate;Consumer;Furniture;Furnishings;50;9
Other;Case Logic 2.4GHz Wireless Keyboard;Consumer;Technology;Accessories;619;175
Tenex;Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats;Consumer;Furniture;Furnishings;760;57
Xerox;Xerox 224;Consumer;Office Supplies;Paper;300;333
Avery;Avery Binder Labels;Corporate;Office Supplies;Binders;1148;4
Other;Longer-Life Soft White Bulbs;Consumer;Furniture;Furnishings;895;143
Razer;Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset;Consumer;Technology;Accessories;286;43
Office Star;Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat;Corporate;Furniture;Chairs;1106;379
DMI;DMI Arturo Collection Mission-style Design Wood Chair;Home Office;Furniture;Chairs;318;315
Executive Impressions;"Executive Impressions 14"" Contract Wall Clock";Home Office;Furniture;Furnishings;1149;323
First Data;First Data FD10 PIN Pad;Home Office;Technology;Accessories;1150;81
GE;GE 30524EE4;Home Office;Technology;Phones;13;405
Xerox;Xerox 1929;Corporate;Office Supplies;Paper;709;172
Hon;Hon Olson Stacker Stools;Corporate;Furniture;Chairs;435;412
OIC;"OIC Binder Clips, Mini, 1/4"" Capacity, Black";Corporate;Office Supplies;Fasteners;1151;435
Stanley;Stanley Contemporary Battery Pencil Sharpeners;Consumer;Office Supplies;Art;271;67
Newell;Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders;Consumer;Office Supplies;Binders;569;412
Other;High-Back Leather Manager's Chair;Consumer;Furniture;Chairs;1152;103
Other;Canvas Sectional Post Binders;Consumer;Office Supplies;Binders;1153;48
Acme;Acme Stainless Steel Office Snips;Consumer;Office Supplies;Supplies;1007;268
Other;Insertable Tab Post Binder Dividers;Consumer;Office Supplies;Binders;169;498
Belkin;Belkin QODE FastFit Bluetooth Keyboard;Consumer;Technology;Accessories;1154;369
Advantus;Advantus T-Pin Paper Clips;Corporate;Office Supplies;Fasteners;1155;236
Avery;Avery 516;Corporate;Office Supplies;Labels;555;347
Other;Wi-Ex zBoost YX540 Cellular Phone Signal Booster;Corporate;Technology;Phones;1156;48
Other;Clarity 53712;Corporate;Technology;Phones;1157;20
Xerox;Xerox 229;Consumer;Office Supplies;Paper;700;426
Rogers;Rogers Jumbo File, Granite;Consumer;Office Supplies;Storage;1158;192
RCA;RCA ViSYS 25425RE1 Corded phone;Consumer;Technology;Phones;1159;303
Ibico;Ibico Ibimaster 300 Manual Binding System;Consumer;Office Supplies;Binders;690;184
Avery;Avery 487;Consumer;Office Supplies;Labels;1160;170
Avery;Avery 489;Consumer;Office Supplies;Labels;1100;280
Belkin;Belkin Premiere Surge Master II 8-outlet surge protector;Consumer;Office Supplies;Appliances;1161;347
Logitech;Logitech Desktop MK120 Mouse and keyboard Combo;Consumer;Technology;Accessories;670;445
SAFCO;SAFCO Arco Folding Chair;Consumer;Furniture;Chairs;786;415
Hoover;Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags;Consumer;Office Supplies;Appliances;1162;127
Other;Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright);Consumer;Office Supplies;Paper;380;113
Hon;Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal;Home Office;Furniture;Tables;958;119
Chromcraft;"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table";Home Office;Furniture;Tables;1163;479
Wilson Jones;Wilson Jones Century Plastic Molded Ring Binders;Home Office;Office Supplies;Binders;472;337
SAFCO;SAFCO Commercial Wire Shelving, 72h;Home Office;Office Supplies;Storage;65;368
Global;Global Low Back Tilter Chair;Consumer;Furniture;Chairs;1164;90
Other;"Computer Room Manger, 14""";Consumer;Furniture;Furnishings;866;367
Xerox;Xerox 1888;Consumer;Office Supplies;Paper;1063;139
Xerox;Xerox 1954;Consumer;Office Supplies;Paper;876;13
Logitech;Logitech 910-002974 M325 Wireless Mouse for Web Scrolling;Consumer;Technology;Accessories;33;410
Logitech;Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology;Consumer;Technology;Accessories;1165;334
Boston;Boston Home & Office Model 2000 Electric Pencil Sharpeners;Consumer;Office Supplies;Art;284;345
Newell;Newell 31;Consumer;Office Supplies;Art;1166;143
Other;"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""";Consumer;Office Supplies;Binders;160;81
Ibico;Ibico Hi-Tech Manual Binding System;Consumer;Office Supplies;Binders;9;145
Eldon;Eldon Cleatmat Plus Chair Mats for High Pile Carpets;Consumer;Furniture;Furnishings;1098;299
Other;Harbour Creations 67200 Series Stacking Chairs;Corporate;Furniture;Chairs;1167;44
Avery;Avery 492;Consumer;Office Supplies;Labels;209;320
Ibico;Ibico Plastic Spiral Binding Combs;Home Office;Office Supplies;Binders;414;369
SAFCO;Safco Contoured Stacking Chairs;Consumer;Furniture;Chairs;1078;292
SAFCO;SAFCO Arco Folding Chair;Consumer;Furniture;Chairs;786;138
Other;Lock-Up Easel 'Spel-Binder';Home Office;Office Supplies;Binders;1168;426
Newell;Newell 332;Consumer;Office Supplies;Art;1169;252
Other;Recycled Easel Ring Binders;Consumer;Office Supplies;Binders;1170;178
Other;White Computer Printout Paper by Universal;Consumer;Office Supplies;Paper;653;455
